83614,Luteimonas
83618,Pseudoxanthomonas
83676,Nocardiopsaceae
84406,Virgibacillus
84566,Sphingobacteriaceae
84567,Pedobacter
84642,Aeromonadaceae
84998,Coriobacteriia
84999,Coriobacteriales
85006,Micrococcales
85007,Mycobacteriales
85009,Propionibacteriales
85011,Kitasatosporales
85012,Streptosporangiales
85015,Nocardioidaceae
85016,Cellulomonadaceae
85021,Intrasporangiaceae
85023,Microbacteriaceae
85025,Nocardiaceae
85413,Bosea
88723,Natrinema
89373,Cytophagaceae
89404,Glaciecola
89966,Hymenobacter
90142,Ferroplasmaceae
90964,Staphylococcaceae
91061,Bacilli
91347,Enterobacterales
91561,Artiodactyla
92860,Pleosporales
93133,Mycosphaerellaceae
93217,Pandoraea
95337,Vesivirus
95341,Sapovirus
95342,Sapporo virus
97050,Ruegeria
99479,Tetrasphaera
100953,Atadenovirus
102106,Collinsella
104267,Tenacibaculum
104394,Picobirnavirus
104766,Nanovirus
106589,Cupriavidus
106633,Thioalkalivibrio
110456,Teseptimavirus
110618,Nectriaceae
110932,Leifsonia
114380,Desulfurococcales
115784,Phaffomycetaceae
117743,Flavobacteriia
117747,Sphingobacteriia
118969,Legionellales
119045,Methylobacteriaceae
119060,Burkholderiaceae
119089,Chromadorea
119163,Tolivirales
119164,Polerovirus
121871,Haloterrigena
122277,Pectobacterium
128706,Haloviruses
128827,Erysipelotrichaceae
129725,Foveavirus
133925,Olsenella
134362,Capnodiales
134813,Natronorubrum
135575,Idiomarina
135613,Chromatiales
135614,Xanthomonadales
135616,Piscirickettsiaceae
135619,Oceanospirillales
135620,Oceanospirillaceae
135622,Alteromonadales
135623,Vibrionales
135625,Pasteurellales
136099,Knoellia
137757,Ipomovirus
140052,Betaretrovirus
140410,Peduovirus
140568,Allexivirus
142786,Norovirus
142796,Eumycetozoa
143919,Betanodavirus
143920,Alphanodavirus
144051,Cripavirus
147541,Dothideomycetes
147545,Eurotiomycetes
147548,Leotiomycetes
147550,Sordariomycetes
149698,Massilia
150247,Anoxybacillus
151340,Papillomaviridae
151341,Polyomaviridae
153057,Alpharetrovirus
153135,Gammaretrovirus
153136,Deltaretrovirus
155616,Tremellomycetes
155619,Agaricomycetes
156207,Tritimovirus
156973,Dysgonomonas
157897,Rudiviridae
162289,Peptoniphilus
162481,Microbotryomycetes
162484,Pucciniomycetes
165695,Sphingobium
165696,Novosphingobium
165697,Sphingopyxis
165779,Anaerococcus
171549,Bacteroidales
171550,Rikenellaceae
171551,Porphyromonadaceae
171552,Prevotellaceae
178830,Bornaviridae
180252,Mardivirus
181083,Chlorovirus
181084,Prasinovirus
182709,Oceanobacillus
183924,Thermoprotei
183925,Methanobacteria
183963,Halobacteria
183967,Thermoplasmata
184751,Vitivirus
186328,Entomoplasmatales
186457,Aureusvirus
186532,Ceduovirus
186534,Caulimoviridae
186536,Ebolavirus
186764,Fromanvirus
186765,Lambdavirus
186766,Narnaviridae
186767,Narnavirus
186768,Mitovirus
186777,Muvirus
186794,Lederbergvirus
186801,Clostridia
186802,Eubacteriales
186803,Lachnospiraceae
186804,Peptostreptococcaceae
186806,Eubacteriaceae
186807,Peptococcaceae
186814,Thermoanaerobacteraceae
186817,Bacillaceae
186818,Planococcaceae
186820,Listeriaceae
186822,Paenibacillaceae
186823,Alicyclobacillaceae
186826,Lactobacillales
186827,Aerococcaceae
186828,Carnobacteriaceae
186886,Pomovirus
186938,Respirovirus
187213,Rudivirus
187214,Soymovirus
187218,Tequintavirus
187857,Aquificae
188786,Thermaceae
188905,Jannaschia
190729,Betasatellite
191412,Chlorobiaceae
194924,Desulfovibrionaceae
194960,Kobuvirus
198251,Pelagibacter
198601,Satellite Nucleic Acids
200643,Bacteroidia
200644,Flavobacteriales
200795,Chloroflexota
200918,Thermotogota
201174,Actinomycetota
203491,Fusobacteriales
203492,Fusobacteriaceae
203682,Planctomycetota
203691,Spirochaetota
203692,Spirochaetia
203804,Blochmannia
204428,Chlamydiota
204434,Acidobacteriaceae
204441,Rhodospirillales
204455,Rhodobacterales
204457,Sphingomonadales
206351,Neisseriales
213115,Desulfovibrionales
213118,Desulfobacterales
213119,Desulfobacteraceae
213422,Geobacteraceae
213849,Campylobacterales
217160,Ampelovirus
224756,Methanomicrobia
227290,Rhizobium/Agrobacterium group
227307,Gyrovirus
228398,Streptacidiphilus
231213,Sporidiobolales
232795,Dicistroviridae
232799,Iflavirus
238783,Pseudorhodobacter
239759,Alistipes
245186,Loktanella
245876,Nitratireductor
246875,Algoriphagus
249184,Tymoviridae
249185,Maculavirus
249310,Chrysoviridae
249588,Mamastrovirus
249589,Avastrovirus
251095,Nanoviridae
252356,Maribacter
255475,Aurantimonadaceae
260963,Avulavirus
260964,Henipavirus
283494,Geminialphasatellitinae
289201,Pontibacillus
290174,Aquimarina
291183,Lacinutrix
299071,Ajellomycetaceae
300275,Lachancea
302485,Phaeobacter
314145,Laurasiatheria
314146,Euarchontoglires
314147,Glires
314294,Cercopithecoidea
314295,Hominoidea
323449,Pontibacter
325454,Deltapapillomavirus
325455,Gammapapillomavirus
325462,Lambdapapillomavirus
327045,Orthoretrovirinae
327046,Spumaretrovirinae
333750,Alphapapillomavirus
333922,Betapapillomavirus
333938,non-primate mammal papillomaviruses
334211,Pipapillomavirus
335929,Erythrobacteraceae
338191,Nitrosopumilus
341940,Betalipothrixvirus
361177,Altererythrobacter
363408,Nonlabens
367188,Haladaptatus
371730,Enquatrovirus
373507,Single stranded RNA satellites
387342,Halopiger
400634,Lysinibacillus
413496,Cronobacter
414371,Aureimonas
418101,Plasmodium (Vinckeia)
418103,Plasmodium (Plasmodium)
418107,Plasmodium (Laverania)
422676,Aconoidasida
439488,ssRNA viruses
459786,Oscillibacter
464095,Picornavirales
474942,Ophiocordycipitaceae
474943,Cordycipitaceae
477967,Phikmvvirus
478070,Labrenzia
490567,Arenimonas
490731,Kwoniella
508458,Synergistota
541000,Oscillospiraceae
542835,Autographiviridae
542836,Picovirinae
542837,Zindervirus
544448,Mycoplasmatota
548681,Herpesvirales
548682,Alloherpesviridae
549779,Mimiviridae
554915,Amoebozoa
558016,Alphabaculovirus
558017,Betabaculovirus
563798,Cyclobacteriaceae
563835,Chitinophagaceae
564644,Endornaviridae
572511,Blautia
649777,Synergistaceae
651137,Nitrososphaerota
674979,Bacilladnavirus
674981,Victorivirus
675063,Tymovirales
675064,Alphaflexiviridae
675068,Betaflexiviridae
675071,Virgaviridae
675072,Secoviridae
675073,Torradovirus
675075,Comovirinae
680277,Kuravirus
680287,Rosenblumvirus
686565,Gokushovirinae
687329,Anelloviridae
687331,Alphatorquevirus
687332,Betatorquevirus
689831,Spinareoviridae
689832,Sedoreoviridae
693995,Coronavirinae
693996,Alphacoronavirus
694002,Betacoronavirus
694017,Torovirinae
699189,Iflaviridae
742914,Cyclovirus
766764,Debaryomycetaceae
768503,Cytophagia
768507,Cytophagales
857473,Spounavirinae
857479,Peduoviridae
909929,Selenomonadales
944644,Marseilleviridae
1028384,Glomerellales
1075397,Halolamina
1156497,Pichiaceae
